,set01,set02,set03,set04,set05,set06,row
1103241600,1.09691,1.09433,1.08686,1.05851,1.05325,1.05983,12/17/04 0:00
1103500800,1.09829,1.09476,1.0874,1.05836,1.05338,1.06032,12/20/04 0:00
1103587200,1.09803,1.09551,1.08788,1.05917,1.05404,1.06119,12/21/04 0:00
1103673600,1.09968,1.09436,1.08712,1.05961,1.05439,1.06158,12/22/04 0:00
1103760000,1.10202,1.09453,1.08738,1.05991,1.05463,1.06187,12/23/04 0:00
1104105600,1.10163,1.09579,1.08792,1.06022,1.05476,1.06205,12/27/04 0:00
1104192000,1.10129,1.09674,1.08965,1.06049,1.05485,1.06212,12/28/04 0:00
1104278400,1.10209,1.09731,1.09037,1.06046,1.0549,1.06278,12/29/04 0:00
1104364800,1.10102,1.09496,1.08806,1.06015,1.05507,1.0631,12/30/04 0:00
1104451200,1.10052,1.09468,1.08789,1.05999,1.05552,1.06331,12/31/04 0:00
1104710400,1.10127,1.09606,1.08883,1.06688,1.06004,1.0667,1/3/05 0:00
1104796800,1.10661,1.10136,1.0932,1.06839,1.06079,1.06773,1/4/05 0:00
1104883200,1.10999,1.10306,1.09327,1.06934,1.06166,1.06879,1/5/05 0:00
1104969600,1.11197,1.10593,1.09602,1.0692,1.06181,1.06982,1/6/05 0:00
1105056000,1.11335,1.106,1.09617,1.06984,1.06237,1.06988,1/7/05 0:00
1105315200,1.11854,1.10802,1.09657,1.071,1.0633,1.07117,1/10/05 0:00
1105401600,1.12012,1.10993,1.10598,1.07212,1.0645,1.07234,1/11/05 0:00
1105488000,1.12288,1.11428,1.10354,1.07297,1.06528,1.07403,1/12/05 0:00
1105574400,1.12362,1.11583,1.10473,1.07366,1.06591,1.07469,1/13/05 0:00
1105660800,1.12452,1.11666,1.10509,1.07504,1.06722,1.0765,1/14/05 0:00
1105920000,1.12469,1.11691,1.10524,1.07517,1.06737,1.07665,1/17/05 0:00
1106006400,1.12355,1.11966,1.10718,1.07638,1.06836,1.07806,1/18/05 0:00
1106092800,1.12402,1.12018,1.10751,1.07649,1.06831,1.07769,1/19/05 0:00
1106179200,1.12724,1.12409,1.11053,1.07741,1.06925,1.07919,1/20/05 0:00
1106265600,1.12761,1.12402,1.11067,1.07701,1.06903,1.07871,1/21/05 0:00
1106524800,1.12821,1.12389,1.11229,1.07759,1.07013,1.07967,1/24/05 0:00
1106611200,1.12845,1.12594,1.11308,1.07856,1.07004,1.08027,1/25/05 0:00
1106697600,1.12834,1.12665,1.11078,1.07827,1.0702,1.07977,1/26/05 0:00
1106784000,1.12703,1.12558,1.11182,1.07795,1.06973,1.07942,1/27/05 0:00
1106870400,1.12833,1.12707,1.11255,1.0778,1.06972,1.07931,1/28/05 0:00
1107129600,1.12875,1.12719,1.09423,1.07931,1.07134,1.08091,1/31/05 0:00
1107216000,1.13056,1.129,1.11262,1.07926,1.07132,1.08062,2/1/05 0:00
1107302400,1.1289,1.12757,1.11372,1.08012,1.07206,1.08158,2/2/05 0:00
1107388800,1.12983,1.12778,1.11377,1.08006,1.07211,1.08134,2/3/05 0:00
1107475200,1.12927,1.12665,1.11241,1.08063,1.07278,1.08218,2/4/05 0:00
1107734400,1.12704,1.12513,1.11108,1.08118,1.07304,1.08266,2/7/05 0:00
1107820800,1.12751,1.12515,1.11114,1.08207,1.07372,1.08324,2/8/05 0:00
1107907200,1.13029,1.12708,1.11295,1.0827,1.07396,1.08344,2/9/05 0:00
1107993600,1.13153,1.12914,1.11355,1.08149,1.07404,1.08235,2/10/05 0:00
